Orthogroup	E_dermatitidis_DCF04.aa	E_dermatitidis_NIHUT8656.aa
OG0003283	HRR76_003748-T1	HMPREF1120_03585
OG0003284	HRR76_000275-T1	HMPREF1120_00274
OG0003285	HRR76_006121-T1	HMPREF1120_05888
OG0003286	HRR76_009540-T1	HMPREF1120_09215
OG0003287	HRR76_006134-T1	HMPREF1120_05901
OG0003288	HRR76_008238-T1	HMPREF1120_07951
OG0003289	HRR76_000814-T1	HMPREF1120_00790
OG0003290	HRR76_001749-T1	HMPREF1120_01693
OG0003291	HRR76_003904-T1	HMPREF1120_03722
OG0003292	HRR76_005165-T1	HMPREF1120_04960
OG0003293	HRR76_000425-T1	HMPREF1120_00415
OG0003294	HRR76_006172-T1	HMPREF1120_05939
OG0003295	HRR76_003114-T1	HMPREF1120_02954
OG0003296	HRR76_008609-T1	HMPREF1120_08320
OG0003297	HRR76_008573-T1	HMPREF1120_08284
OG0003298	HRR76_001953-T1	HMPREF1120_01882
OG0003299	HRR76_003985-T1	HMPREF1120_03799
OG0003300	HRR76_006971-T1	HMPREF1120_06764
OG0003301	HRR76_003501-T1	HMPREF1120_03337
OG0003302	HRR76_001627-T1	HMPREF1120_01573
OG0003303	HRR76_006427-T1	HMPREF1120_06194
OG0003304	HRR76_006658-T3	HMPREF1120_06425
OG0003305	HRR76_003459-T1	HMPREF1120_03299
OG0003306	HRR76_002818-T1	HMPREF1120_02693
OG0003307	HRR76_006574-T1	HMPREF1120_06345
OG0003308	HRR76_006187-T1	HMPREF1120_05952
OG0003309	HRR76_007938-T1	HMPREF1120_07704
OG0003310	HRR76_000259-T1	HMPREF1120_00260
OG0003311	HRR76_004994-T1	HMPREF1120_04790
OG0003312	HRR76_002310-T1	HMPREF1120_02214
OG0003313	HRR76_000511-T1	HMPREF1120_00497
OG0003314	HRR76_000185-T1	HMPREF1120_00190
OG0003315	HRR76_005196-T1	HMPREF1120_04989
OG0003316	HRR76_007528-T1	HMPREF1120_07303
OG0003317	HRR76_003225-T1	HMPREF1120_03068
OG0003318	HRR76_004591-T1	HMPREF1120_04401
OG0003319	HRR76_006361-T1	HMPREF1120_06132
OG0003320	HRR76_006822-T1	HMPREF1120_06623
OG0003321	HRR76_001290-T1	HMPREF1120_01246
OG0003322	HRR76_007433-T1	HMPREF1120_07212
OG0003323	HRR76_000914-T1	HMPREF1120_00885
OG0003324	HRR76_009551-T1	HMPREF1120_09226
OG0003325	HRR76_004702-T1	HMPREF1120_04513
OG0003326	HRR76_002413-T1	HMPREF1120_02309
OG0003327	HRR76_003475-T1	HMPREF1120_03313
OG0003328	HRR76_003804-T1	HMPREF1120_03639
OG0003329	HRR76_006282-T1	HMPREF1120_06056
OG0003330	HRR76_009219-T1	HMPREF1120_08899
OG0003331	HRR76_006481-T1	HMPREF1120_06250
OG0003332	HRR76_003885-T1	HMPREF1120_03704
OG0003333	HRR76_001853-T1	HMPREF1120_01790
OG0003334	HRR76_005325-T1	HMPREF1120_05123
OG0003335	HRR76_009409-T1	HMPREF1120_09085
OG0003336	HRR76_009030-T1	HMPREF1120_08709
OG0003337	HRR76_002203-T1	HMPREF1120_02112
OG0003338	HRR76_006871-T1	HMPREF1120_06669
OG0003339	HRR76_009206-T1	HMPREF1120_08883
OG0003340	HRR76_006098-T1	HMPREF1120_05864
OG0003341	HRR76_004711-T1	HMPREF1120_04522
OG0003342	HRR76_007330-T1	HMPREF1120_07110
OG0003343	HRR76_001067-T1	HMPREF1120_01037
OG0003344	HRR76_006042-T1	HMPREF1120_05809
OG0003345	HRR76_000791-T1	HMPREF1120_00770
OG0003346	HRR76_002918-T1	HMPREF1120_02794
OG0003347	HRR76_008588-T1	HMPREF1120_08298
OG0003348	HRR76_007985-T1	HMPREF1120_07747
OG0003349	HRR76_002971-T1	HMPREF1120_02840
OG0003350	HRR76_005580-T1	HMPREF1120_05358
OG0003351	HRR76_007114-T1	HMPREF1120_06907
OG0003352	HRR76_002658-T1	HMPREF1120_02536
OG0003353	HRR76_002427-T1	HMPREF1120_02321
OG0003354	HRR76_000138-T1	HMPREF1120_00142
OG0003355	HRR76_007459-T1	HMPREF1120_07236
OG0003356	HRR76_008175-T1	HMPREF1120_07892
OG0003357	HRR76_007256-T1	HMPREF1120_07040
OG0003358	HRR76_007512-T1	HMPREF1120_07290
OG0003359	HRR76_006818-T1	HMPREF1120_06619
OG0003360	HRR76_007501-T1	HMPREF1120_07279
OG0003361	HRR76_004778-T1	HMPREF1120_04585
OG0003362	HRR76_002574-T1	HMPREF1120_02457
OG0003363	HRR76_008399-T1	HMPREF1120_08113
OG0003364	HRR76_005563-T1	HMPREF1120_05338
OG0003365	HRR76_007792-T1	HMPREF1120_07563
OG0003366	HRR76_002277-T1	HMPREF1120_02183
OG0003367	HRR76_001839-T1	HMPREF1120_01778
OG0003368	HRR76_008925-T1	HMPREF1120_08605
OG0003369	HRR76_003838-T1	HMPREF1120_03675
OG0003370	HRR76_002134-T1	HMPREF1120_02044
OG0003371	HRR76_002121-T1	HMPREF1120_02030
OG0003372	HRR76_000578-T1	HMPREF1120_00562
OG0003373	HRR76_008535-T1	HMPREF1120_08247
OG0003374	HRR76_007885-T1	HMPREF1120_07654
OG0003375	HRR76_001576-T1	HMPREF1120_01521
OG0003376	HRR76_001613-T1	HMPREF1120_01558
OG0003377	HRR76_006413-T1	HMPREF1120_06181
OG0003378	HRR76_008045-T1	HMPREF1120_07802
OG0003379	HRR76_006203-T1	HMPREF1120_05975
OG0003380	HRR76_002871-T1	HMPREF1120_02746
OG0003381	HRR76_007475-T1	HMPREF1120_07251
OG0003382	HRR76_007804-T1	HMPREF1120_07576
OG0003383	HRR76_004783-T1	HMPREF1120_04590
OG0003384	HRR76_008159-T1	HMPREF1120_06571
OG0003385	HRR76_008414-T1	HMPREF1120_08126
OG0003386	HRR76_008285-T1	HMPREF1120_08002
OG0003387	HRR76_004760-T1	HMPREF1120_04567
OG0003388	HRR76_006918-T1	HMPREF1120_06713
OG0003389	HRR76_003330-T1	HMPREF1120_03170
OG0003390	HRR76_006108-T1	HMPREF1120_05876
OG0003391	HRR76_008507-T1	HMPREF1120_08221
OG0003392	HRR76_005006-T1	HMPREF1120_04803
OG0003393	HRR76_001939-T1	HMPREF1120_01867
OG0003394	HRR76_002187-T1	HMPREF1120_02097
OG0003395	HRR76_001136-T1	HMPREF1120_01097
OG0003396	HRR76_000094-T1	HMPREF1120_00098
OG0003397	HRR76_005019-T1	HMPREF1120_04816
OG0003398	HRR76_003938-T1	HMPREF1120_03754
OG0003399	HRR76_006310-T1	HMPREF1120_06082
OG0003400	HRR76_000560-T1	HMPREF1120_00546
OG0003401	HRR76_003528-T1	HMPREF1120_03364
OG0003402	HRR76_002361-T1	HMPREF1120_02261
OG0003403	HRR76_002822-T1	HMPREF1120_02698
OG0003404	HRR76_007225-T1	HMPREF1120_07012
OG0003405	HRR76_009410-T1	HMPREF1120_09086
OG0003406	HRR76_007784-T1	HMPREF1120_07555
OG0003407	HRR76_003947-T1	HMPREF1120_03764
OG0003408	HRR76_004803-T1	HMPREF1120_04608
OG0003409	HRR76_000353-T1	HMPREF1120_00345
OG0003410	HRR76_007705-T1	HMPREF1120_07477
OG0003411	HRR76_009200-T1	HMPREF1120_08875
OG0003412	HRR76_001752-T1	HMPREF1120_01696
OG0003413	HRR76_009036-T1	HMPREF1120_08715
OG0003414	HRR76_005858-T1	HMPREF1120_05635
OG0003415	HRR76_007336-T1	HMPREF1120_07116
OG0003416	HRR76_002309-T1	HMPREF1120_02213
OG0003417	HRR76_009313-T1	HMPREF1120_08991
OG0003418	HRR76_003241-T1	HMPREF1120_03082
OG0003419	HRR76_003442-T1	HMPREF1120_03282
OG0003420	HRR76_008724-T1	HMPREF1120_08428
OG0003421	HRR76_002316-T1	HMPREF1120_02220
OG0003422	HRR76_003667-T1	HMPREF1120_03504
OG0003423	HRR76_003993-T1	HMPREF1120_03806
OG0003424	HRR76_000077-T1	HMPREF1120_00082
OG0003425	HRR76_000450-T1	HMPREF1120_00439
OG0003426	HRR76_007013-T1	HMPREF1120_06806
OG0003427	HRR76_005190-T1	HMPREF1120_04984
OG0003428	HRR76_003498-T1	HMPREF1120_03334
OG0003429	HRR76_001296-T1	HMPREF1120_01252
OG0003430	HRR76_005062-T2	HMPREF1120_04856
OG0003431	HRR76_003081-T1	HMPREF1120_02946
OG0003432	HRR76_006699-T1	HMPREF1120_06463
OG0003433	HRR76_001499-T1	HMPREF1120_01442
OG0003434	HRR76_006075-T1	HMPREF1120_05841
OG0003435	HRR76_000298-T1	HMPREF1120_00295
OG0003436	HRR76_004903-T1	HMPREF1120_04705
OG0003437	HRR76_003847-T1	HMPREF1120_03682
OG0003438	HRR76_007569-T1	HMPREF1120_07341
OG0003439	HRR76_001265-T1	HMPREF1120_01222
OG0003440	HRR76_005671-T1	HMPREF1120_05447
OG0003441	HRR76_004218-T1	HMPREF1120_04022
OG0003442	HRR76_005958-T1	HMPREF1120_05732
OG0003443	HRR76_000193-T1	HMPREF1120_00198
OG0003444	HRR76_000242-T1	HMPREF1120_00242
OG0003445	HRR76_000441-T1	HMPREF1120_00431
OG0003446	HRR76_004408-T3	HMPREF1120_04209
OG0003447	HRR76_003250-T1	HMPREF1120_03091
OG0003448	HRR76_002597-T1	HMPREF1120_02479
OG0003449	HRR76_002294-T1	HMPREF1120_02199
OG0003450	HRR76_006059-T1	HMPREF1120_05825
OG0003451	HRR76_003027-T1	HMPREF1120_02894
OG0003452	HRR76_002717-T1	HMPREF1120_02594
OG0003453	HRR76_004636-T1	HMPREF1120_04446
OG0003454	HRR76_006145-T1	HMPREF1120_05913
OG0003455	HRR76_003893-T1	HMPREF1120_03712
OG0003456	HRR76_001314-T1	HMPREF1120_01269
OG0003457	HRR76_002543-T1	HMPREF1120_02428
OG0003458	HRR76_005622-T1	HMPREF1120_05400
OG0003459	HRR76_000147-T1	HMPREF1120_00151
OG0003460	HRR76_005000-T1	HMPREF1120_04797
OG0003461	HRR76_007241-T1	HMPREF1120_07025
OG0003462	HRR76_005236-T1	HMPREF1120_05033
OG0003463	HRR76_007442-T1	HMPREF1120_07221
OG0003464	HRR76_007993-T1	HMPREF1120_07754
OG0003465	HRR76_005439-T1	HMPREF1120_05217
OG0003466	HRR76_006309-T1	HMPREF1120_06081
OG0003467	HRR76_009381-T1	HMPREF1120_09060
OG0003468	HRR76_001130-T1	HMPREF1120_01092
OG0003469	HRR76_004977-T1	HMPREF1120_04774
OG0003470	HRR76_006316-T1	HMPREF1120_06089
OG0003471	HRR76_008072-T1	HMPREF1120_07831
OG0003472	HRR76_004434-T1	HMPREF1120_04238
OG0003473	HRR76_007081-T1	HMPREF1120_06876
OG0003474	HRR76_004222-T1	HMPREF1120_04027
OG0003475	HRR76_008841-T1	HMPREF1120_08541
OG0003476	HRR76_008358-T1	HMPREF1120_08072
OG0003477	HRR76_004421-T1	HMPREF1120_04225
OG0003478	HRR76_003013-T1	HMPREF1120_02879
OG0003479	HRR76_002699-T1	HMPREF1120_02576
OG0003480	HRR76_002723-T1	HMPREF1120_02601
OG0003481	HRR76_007498-T1	HMPREF1120_07276
OG0003482	HRR76_002075-T1	HMPREF1120_01986
OG0003483	HRR76_000566-T1	HMPREF1120_00551
OG0003484	HRR76_004472-T1	HMPREF1120_04274
OG0003485	HRR76_001570-T1	HMPREF1120_01517
OG0003486	HRR76_003705-T1	HMPREF1120_03543
OG0003487	HRR76_008950-T1	HMPREF1120_08631
OG0003488	HRR76_004271-T1	HMPREF1120_04073
OG0003489	HRR76_003784-T1	HMPREF1120_03620
OG0003490	HRR76_006033-T1	HMPREF1120_05800
OG0003491	HRR76_004882-T1	HMPREF1120_04682
OG0003492	HRR76_007947-T1	HMPREF1120_07713
OG0003493	HRR76_004127-T1	HMPREF1120_03938
OG0003494	HRR76_009461-T1	HMPREF1120_09136
OG0003495	HRR76_005618-T1	HMPREF1120_05395
OG0003496	HRR76_008021-T1	HMPREF1120_07781
OG0003497	HRR76_004766-T1	HMPREF1120_04572
OG0003498	HRR76_003336-T1	HMPREF1120_03178
OG0003499	HRR76_007027-T1	HMPREF1120_06821
OG0003500	HRR76_002059-T1	HMPREF1120_01970
OG0003501	HRR76_006294-T1	HMPREF1120_06066
OG0003502	HRR76_008198-T1	HMPREF1120_07912
OG0003503	HRR76_004487-T1	HMPREF1120_04288
OG0003504	HRR76_008544-T1	HMPREF1120_08254
OG0003505	HRR76_007893-T1	HMPREF1120_07661
OG0003506	HRR76_000339-T1	HMPREF1120_00332
OG0003507	HRR76_002145-T1	HMPREF1120_02055
OG0003508	HRR76_004795-T1	HMPREF1120_04600
OG0003509	HRR76_006717-T1	HMPREF1120_06480
OG0003510	HRR76_004877-T1	HMPREF1120_04677
OG0003511	HRR76_006543-T1	HMPREF1120_06312
OG0003512	HRR76_008293-T1	HMPREF1120_08009
OG0003513	HRR76_008941-T1	HMPREF1120_08620
OG0003514	HRR76_009327-T1	HMPREF1120_09005
OG0003515	HRR76_000715-T1	HMPREF1120_00696
OG0003516	HRR76_008142-T1	HMPREF1120_06587
OG0003517	HRR76_001568-T1	HMPREF1120_01515
OG0003518	HRR76_004181-T1	HMPREF1120_03985
OG0003519	HRR76_000003-T1	HMPREF1120_00014
OG0003520	HRR76_005586-T1	HMPREF1120_05364
OG0003521	HRR76_004982-T1	HMPREF1120_04779
OG0003522	HRR76_008087-T1	HMPREF1120_07847
OG0003523	HRR76_000595-T1	HMPREF1120_00579
OG0003524	HRR76_007847-T1	HMPREF1120_07620
OG0003525	HRR76_003569-T1	HMPREF1120_03409
OG0003526	HRR76_007250-T1	HMPREF1120_07034
OG0003527	HRR76_004367-T1	HMPREF1120_04166
OG0003528	HRR76_008661-T1	HMPREF1120_08366
OG0003529	HRR76_006597-T1	HMPREF1120_06367
OG0003530	HRR76_004515-T1	HMPREF1120_04316
OG0003531	HRR76_002724-T1	HMPREF1120_02602
OG0003532	HRR76_008316-T1	HMPREF1120_08030
OG0003533	HRR76_006072-T1	HMPREF1120_05839
OG0003534	HRR76_004528-T1	HMPREF1120_04329
OG0003535	HRR76_003014-T1	HMPREF1120_02880
OG0003536	HRR76_005065-T1	HMPREF1120_04859
OG0003537	HRR76_008309-T1	HMPREF1120_08024
OG0003538	HRR76_004433-T1	HMPREF1120_04237
OG0003539	HRR76_007591-T1	HMPREF1120_07364
OG0003540	HRR76_004938-T1	HMPREF1120_04738
OG0003541	HRR76_003445-T1	HMPREF1120_03285
OG0003542	HRR76_006358-T1	HMPREF1120_06129
OG0003543	HRR76_006841-T1	HMPREF1120_06639
OG0003544	HRR76_001327-T1	HMPREF1120_01282
OG0003545	HRR76_007994-T1	HMPREF1120_07755
OG0003546	HRR76_004330-T1	HMPREF1120_04130
OG0003547	HRR76_009568-T1	HMPREF1120_09243
OG0003548	HRR76_000728-T1	HMPREF1120_00709
OG0003549	HRR76_003760-T1	HMPREF1120_03597
OG0003550	HRR76_006950-T1	HMPREF1120_06745
OG0003551	HRR76_001755-T1	HMPREF1120_01700
OG0003552	HRR76_006034-T1	HMPREF1120_05801
OG0003553	HRR76_003783-T1	HMPREF1120_03619
OG0003554	HRR76_006021-T1	HMPREF1120_05789
OG0003555	HRR76_007702-T1	HMPREF1120_07475
OG0003556	HRR76_007711-T1	HMPREF1120_07482
OG0003557	HRR76_008717-T1	HMPREF1120_08421
OG0003558	HRR76_005625-T1	HMPREF1120_05403
OG0003559	HRR76_006198-T1	HMPREF1120_05963
OG0003560	HRR76_001381-T1	HMPREF1120_01331
OG0003561	HRR76_009130-T1	HMPREF1120_08804
OG0003562	HRR76_006544-T1	HMPREF1120_06313
OG0003563	HRR76_001167-T1	HMPREF1120_01129
OG0003564	HRR76_006142-T1	HMPREF1120_05910
OG0003565	HRR76_004838-T1	HMPREF1120_04642
OG0003566	HRR76_007630-T1	HMPREF1120_07402
OG0003567	HRR76_006941-T1	HMPREF1120_06736
OG0003568	HRR76_001726-T1	HMPREF1120_01671
OG0003569	HRR76_008543-T1	HMPREF1120_08253
OG0003570	HRR76_007894-T1	HMPREF1120_07662
OG0003571	HRR76_002008-T1	HMPREF1120_01933
OG0003572	HRR76_006293-T1	HMPREF1120_06065
OG0003573	HRR76_009570-T1	HMPREF1120_09245
OG0003574	HRR76_000245-T1	HMPREF1120_00246
OG0003575	HRR76_003778-T1	HMPREF1120_03615
OG0003576	HRR76_006087-T1	HMPREF1120_05853
OG0003577	HRR76_001779-T1	HMPREF1120_01722
OG0003578	HRR76_006850-T1	HMPREF1120_06650
OG0003579	HRR76_001262-T1	HMPREF1120_01219
OG0003580	HRR76_006247-T1	HMPREF1120_06022
OG0003581	HRR76_005096-T1	HMPREF1120_04889
OG0003582	HRR76_001461-T1	HMPREF1120_01406
OG0003583	HRR76_000085-T1	HMPREF1120_00089
OG0003584	HRR76_006661-T1	HMPREF1120_06428
OG0003585	HRR76_008597-T1	HMPREF1120_08306
OG0003586	HRR76_000004-T1	HMPREF1120_00015
OG0003587	HRR76_009265-T1	HMPREF1120_08947
OG0003588	HRR76_005809-T1	HMPREF1120_05586
OG0003589	HRR76_002950-T1	HMPREF1120_02821
OG0003590	HRR76_007760-T1	HMPREF1120_07529
OG0003591	HRR76_003711-T1	HMPREF1120_03548
OG0003592	HRR76_002021-T1	HMPREF1120_01948
OG0003593	HRR76_004885-T1	HMPREF1120_04685
OG0003594	HRR76_007783-T1	HMPREF1120_07554
OG0003595	HRR76_004804-T1	HMPREF1120_04609
OG0003596	HRR76_000354-T1	HMPREF1120_00346
OG0003597	HRR76_003702-T1	HMPREF1120_03540
OG0003598	HRR76_006731-T1	HMPREF1120_06491
OG0003599	HRR76_003591-T1	HMPREF1120_03430
OG0003600	HRR76_006724-T1	HMPREF1120_06485
OG0003601	HRR76_002072-T1	HMPREF1120_01985
OG0003602	HRR76_007014-T1	HMPREF1120_06807
OG0003603	HRR76_008699-T1	HMPREF1120_08402
OG0003604	HRR76_008723-T1	HMPREF1120_08427
OG0003605	HRR76_009314-T1	HMPREF1120_08992
OG0003606	HRR76_000038-T1	HMPREF1120_00046
OG0003607	HRR76_003994-T1	HMPREF1120_03807
OG0003608	HRR76_001546-T1	HMPREF1120_01490
OG0003609	HRR76_002841-T1	HMPREF1120_02716
OG0003610	HRR76_002358-T1	HMPREF1120_02257
OG0003611	HRR76_007445-T1	HMPREF1120_07224
OG0003612	HRR76_005916-T1	HMPREF1120_05692
OG0003613	HRR76_001410-T1	HMPREF1120_01358
OG0003614	HRR76_004256-T1	HMPREF1120_04058
OG0003615	HRR76_006610-T1	HMPREF1120_06381
OG0003616	HRR76_004512-T1	HMPREF1120_04313
OG0003617	HRR76_002087-T1	HMPREF1120_01997
OG0003618	HRR76_004459-T1	HMPREF1120_04263
OG0003619	HRR76_005106-T1	HMPREF1120_04901
OG0003620	HRR76_002850-T1	HMPREF1120_02727
OG0003621	HRR76_005909-T1	HMPREF1120_05685
OG0003622	HRR76_005119-T1	HMPREF1120_04914
OG0003623	HRR76_007778-T1	HMPREF1120_07549
OG0003624	HRR76_000548-T1	HMPREF1120_00534
OG0003625	HRR76_004501-T1	HMPREF1120_04301
OG0003626	HRR76_001036-T1	HMPREF1120_01005
OG0003627	HRR76_002247-T1	HMPREF1120_02152
OG0003628	HRR76_005454-T1	HMPREF1120_05231
OG0003629	HRR76_002661-T1	HMPREF1120_02539
OG0003630	HRR76_004985-T1	HMPREF1120_04782
OG0003631	HRR76_004114-T1	HMPREF1120_03923
OG0003632	HRR76_004904-T1	HMPREF1120_04706
OG0003633	HRR76_008145-T2	HMPREF1120_06584
OG0003634	HRR76_001313-T1	HMPREF1120_01268
OG0003635	HRR76_008059-T1	HMPREF1120_07818
OG0003636	HRR76_002198-T1	HMPREF1120_02107
OG0003637	HRR76_000701-T1	HMPREF1120_00682
OG0003638	HRR76_002544-T1	HMPREF1120_02429
OG0003639	HRR76_003630-T1	HMPREF1120_03468
OG0003640	HRR76_002142-T1	HMPREF1120_02052
OG0003641	HRR76_004792-T1	HMPREF1120_04597
OG0003642	HRR76_009296-T1	HMPREF1120_08975
OG0003643	HRR76_006008-T1	HMPREF1120_05777
OG0003644	HRR76_002293-T1	HMPREF1120_02198
OG0003645	HRR76_009499-T1	HMPREF1120_09174
OG0003646	HRR76_002941-T1	HMPREF1120_02813
OG0003647	HRR76_001823-T1	HMPREF1120_01762
OG0003648	HRR76_005649-T1	HMPREF1120_05427
OG0003649	HRR76_007632-T1	HMPREF1120_07404
OG0003650	HRR76_001097-T1	HMPREF1120_01065
OG0003651	HRR76_000761-T1	HMPREF1120_00740
OG0003652	HRR76_009521-T1	HMPREF1120_09195
OG0003653	HRR76_006140-T1	HMPREF1120_05907
OG0003654	HRR76_000276-T1	HMPREF1120_00275
OG0003655	HRR76_000479-T1	HMPREF1120_00466
OG0003656	HRR76_004644-T1	HMPREF1120_04453
OG0003657	HRR76_009132-T1	HMPREF1120_08808
OG0003658	HRR76_000889-T1	HMPREF1120_00861
OG0003659	HRR76_000229-T1	HMPREF1120_00230
OG0003660	HRR76_005166-T1	HMPREF1120_04961
OG0003661	HRR76_000426-T1	HMPREF1120_00416
OG0003662	HRR76_003189-T1	HMPREF1120_03034
OG0003663	HRR76_001188-T1	HMPREF1120_01150
OG0003664	HRR76_006391-T1	HMPREF1120_06160
OG0003665	HRR76_003986-T1	HMPREF1120_03800
OG0003666	HRR76_001260-T1	HMPREF1120_01217
OG0003667	HRR76_001043-T1	HMPREF1120_01012
OG0003668	HRR76_005969-T1	HMPREF1120_05742
OG0003669	HRR76_008615-T1	HMPREF1120_08324
OG0003670	HRR76_009237-T1	HMPREF1120_08922
OG0003671	HRR76_002601-T1	HMPREF1120_02483
OG0003672	HRR76_007674-T1	HMPREF1120_07446
OG0003673	HRR76_004964-T1	HMPREF1120_04760
OG0003674	HRR76_007558-T1	HMPREF1120_07332
OG0003675	HRR76_003255-T1	HMPREF1120_03096
OG0003676	HRR76_001283-T2	HMPREF1120_01238
OG0003677	HRR76_009572-T1	HMPREF1120_09248
OG0003678	HRR76_001923-T1	HMPREF1120_01853
OG0003679	HRR76_004374-T1	HMPREF1120_04173
OG0003680	HRR76_000455-T1	HMPREF1120_00444
OG0003681	HRR76_003429-T1	HMPREF1120_03271
OG0003682	HRR76_001533-T1	HMPREF1120_01476
OG0003683	HRR76_003226-T1	HMPREF1120_03069
OG0003684	HRR76_006457-T1	HMPREF1120_06224
OG0003685	HRR76_006628-T1	HMPREF1120_06397
OG0003686	HRR76_006070-T1	HMPREF1120_05836
OG0003687	HRR76_001428-T1	HMPREF1120_01376
OG0003688	HRR76_001657-T1	HMPREF1120_01603
OG0003689	HRR76_000989-T1	HMPREF1120_00956
OG0003690	HRR76_003476-T1	HMPREF1120_03314
OG0003691	HRR76_009415-T1	HMPREF1120_09090
OG0003692	HRR76_009284-T1	HMPREF1120_08963
OG0003693	HRR76_007700-T1	HMPREF1120_07473
OG0003694	HRR76_001278-T1	HMPREF1120_01234
OG0003695	HRR76_003886-T1	HMPREF1120_03705
OG0003696	HRR76_005326-T1	HMPREF1120_05124
OG0003697	HRR76_005869-T1	HMPREF1120_05646
OG0003698	HRR76_009205-T1	HMPREF1120_08882
OG0003699	HRR76_006952-T1	HMPREF1120_06747
OG0003700	HRR76_009044-T1	HMPREF1120_08722
OG0003701	HRR76_003762-T1	HMPREF1120_03599
OG0003702	HRR76_004864-T1	HMPREF1120_04665
OG0003703	HRR76_006151-T1	HMPREF1120_05918
OG0003704	HRR76_005781-T1	HMPREF1120_05558
OG0003705	HRR76_004332-T1	HMPREF1120_04132
OG0003706	HRR76_001173-T1	HMPREF1120_01135
OG0003707	HRR76_008855-T1, HRR76_008869-T1	
OG0003708	HRR76_000590-T1	HMPREF1120_00574
OG0003709	HRR76_002391-T1	HMPREF1120_02291
OG0003710	HRR76_007189-T1	HMPREF1120_06980
OG0003711	HRR76_001401-T1	HMPREF1120_01350
OG0003712	HRR76_006601-T1	HMPREF1120_06371
OG0003713	HRR76_001202-T1	HMPREF1120_01163
OG0003714	HRR76_003558-T1	HMPREF1120_03399
OG0003715	HRR76_008176-T1	HMPREF1120_07893
OG0003716	HRR76_007255-T1	HMPREF1120_07039
OG0003717	HRR76_002852-T1	HMPREF1120_02728
OG0003718	HRR76_001559-T1	HMPREF1120_01505
OG0003719	HRR76_001211-T1	HMPREF1120_01172
OG0003720	HRR76_001412-T1	HMPREF1120_01360
OG0003721	HRR76_004510-T1	HMPREF1120_04311
OG0003722	HRR76_003674-T1	HMPREF1120_03511
OG0003723	HRR76_008129-T1	HMPREF1120_07888
OG0003724	HRR76_004790-T1	HMPREF1120_04596
OG0003725	HRR76_008926-T1	HMPREF1120_08606
OG0003726	HRR76_002140-T1	HMPREF1120_02050
OG0003727	HRR76_003632-T1	HMPREF1120_03470
OG0003728	HRR76_001917-T1	HMPREF1120_01847
OG0003729	HRR76_001107-T1	HMPREF1120_01074
OG0003730	HRR76_002068-T1	HMPREF1120_01979
OG0003731	HRR76_005037-T1	HMPREF1120_04831
OG0003732	HRR76_000710-T1	HMPREF1120_00691
OG0003733	HRR76_008536-T1	HMPREF1120_08248
OG0003734	HRR76_008955-T1	HMPREF1120_08636
OG0003735	HRR76_007886-T1	HMPREF1120_07655
OG0003736	HRR76_009508-T1	HMPREF1120_09182
OG0003737	HRR76_005547-T1	HMPREF1120_05323
OG0003738	HRR76_003344-T1	HMPREF1120_03187
OG0003739	HRR76_008046-T1	HMPREF1120_07803
OG0003740	HRR76_007476-T1	HMPREF1120_07252
OG0003741	HRR76_007279-T1	HMPREF1120_07063
OG0003742	HRR76_007762-T1	HMPREF1120_07531
OG0003743	HRR76_008489-T1	HMPREF1120_08203
OG0003744	HRR76_002952-T1	HMPREF1120_02823
OG0003745	HRR76_008286-T1	HMPREF1120_08003
OG0003746	HRR76_005713-T1	HMPREF1120_05486
OG0003747	HRR76_000624-T1	HMPREF1120_00606
OG0003748	HRR76_008879-T1	HMPREF1120_08557
OG0003749	HRR76_000631-T1	HMPREF1120_00614
OG0003750	HRR76_005005-T1	HMPREF1120_04802
OG0003751	HRR76_004446-T1	HMPREF1120_04250
OG0003752	HRR76_001135-T1	HMPREF1120_01096
OG0003753	HRR76_005084-T1	HMPREF1120_04876
OG0003754	HRR76_008826-T1	HMPREF1120_08526
OG0003755	HRR76_008369-T1	HMPREF1120_08083
OG0003756	HRR76_005593-T1	HMPREF1120_05371
OG0003757	HRR76_001817-T1	HMPREF1120_01757
OG0003758	HRR76_002628-T1	HMPREF1120_02507
OG0003759	HRR76_002457-T1	HMPREF1120_02348
OG0003760	HRR76_002070-T1	HMPREF1120_01981
OG0003761	HRR76_007429-T1	HMPREF1120_07208
OG0003762	HRR76_005244-T1	HMPREF1120_05041
OG0003763	HRR76_007226-T1	HMPREF1120_07013
OG0003764	HRR76_004089-T1	HMPREF1120_03897
OG0003765	HRR76_000063-T1	HMPREF1120_00068
OG0003766	HRR76_003451-T1	HMPREF1120_03290
OG0003767	HRR76_009575-T1	HMPREF1120_09250
OG0003768	HRR76_003516-T1	HMPREF1120_03352
OG0003769	HRR76_001508-T1	HMPREF1120_01451
OG0003770	HRR76_003673-T1	HMPREF1120_03510
OG0003771	HRR76_002615-T1	HMPREF1120_02495
OG0003772	HRR76_000240-T1	HMPREF1120_00240
OG0003773	HRR76_008612-T1	HMPREF1120_08322
OG0003774	HRR76_006979-T1	HMPREF1120_06772
OG0003775	HRR76_000080-T1	HMPREF1120_00084
OG0003776	HRR76_008601-T1	HMPREF1120_08310
OG0003777	HRR76_000857-T1	HMPREF1120_00834
OG0003778	HRR76_004307-T1	HMPREF1120_04108
OG0003779	HRR76_006926-T1	HMPREF1120_06721
OG0003780	HRR76_005078-T1	HMPREF1120_04873
